Survey,Site,Occasion,tvar
1,KFB_UPS,1,0.082609413
2,KFS_MID,1,0.082609413
3,KFS_DNS,1,0.082609413
4,MIB_UPS,1,0.072864595
5,MIB_MID,1,0.072864595
6,MIB_DNS,1,0.072864595
7,FUB_UPS,1,0.081350414
8,FUB_MID,1,0.081350414
9,FUB_DNS,1,0.081350414
10,CAB_UPS,1,0.081350414
11,CAB_DNS,1,0.081350414
12,PSB_UPS,1,0.072864595
13,PSB_DNS,1,0.072864595
14,GUN_UPS,1,0.082609413
15,GUN_DNS,1,0.082609413
16,KFB_UPS,2,0.079254325
17,KFS_MID,2,0.079254325
18,KFS_DNS,2,0.079254325
19,MIB_UPS,2,0.069331553
20,MIB_MID,2,0.069331553
21,MIB_DNS,2,0.069331553
22,FUB_UPS,2,0.078350937
23,FUB_MID,2,0.078350937
24,FUB_DNS,2,0.078350937
25,CAB_UPS,2,0.078350937
26,CAB_DNS,2,0.078350937
27,PSB_UPS,2,0.069331553
28,PSB_DNS,2,0.069331553
29,GUN_UPS,2,0.079254325
30,GUN_DNS,2,0.079254325
31,KFB_UPS,3,0.073547222
32,KFS_MID,3,0.073547222
33,KFS_DNS,3,0.073547222
34,MIB_UPS,3,0.064304788
35,MIB_MID,3,0.064304788
36,MIB_DNS,3,0.064304788
37,FUB_UPS,3,0.072920583
38,FUB_MID,3,0.072920583
39,FUB_DNS,3,0.072920583
40,CAB_UPS,3,0.072920583
41,CAB_DNS,3,0.072920583
42,PSB_UPS,3,0.064304788
43,PSB_DNS,3,0.064304788
44,GUN_UPS,3,0.073547222
45,GUN_DNS,3,0.073547222
46,KFB_UPS,4,0.073708895
47,KFS_MID,4,0.073708895
48,KFS_DNS,4,0.073708895
49,MIB_UPS,4,0.067179734
50,MIB_MID,4,0.067179734
51,MIB_DNS,4,0.067179734
52,FUB_UPS,4,0.07539738
53,FUB_MID,4,0.07539738
54,FUB_DNS,4,0.07539738
55,CAB_UPS,4,0.07539738
56,CAB_DNS,4,0.07539738
57,PSB_UPS,4,0.067179734
58,PSB_DNS,4,0.067179734
59,GUN_UPS,4,0.073708895
60,GUN_DNS,4,0.073708895
61,KFB_UPS,5,0.072320192
62,KFS_MID,5,0.072320192
63,KFS_DNS,5,0.072320192
64,MIB_UPS,5,0.069085753
65,MIB_MID,5,0.069085753
66,MIB_DNS,5,0.069085753
67,FUB_UPS,5,0.075206152
68,FUB_MID,5,0.075206152
69,FUB_DNS,5,0.075206152
70,CAB_UPS,5,0.075206152
71,CAB_DNS,5,0.075206152
72,PSB_UPS,5,0.069085753
73,PSB_DNS,5,0.069085753
74,GUN_UPS,5,0.072320192
75,GUN_DNS,5,0.072320192
76,KFB_UPS,6,0.073346221
77,KFS_MID,6,0.073346221
78,KFS_DNS,6,0.073346221
79,MIB_UPS,6,0.070277025
80,MIB_MID,6,0.070277025
81,MIB_DNS,6,0.070277025
82,FUB_UPS,6,0.076224309
83,FUB_MID,6,0.076224309
84,FUB_DNS,6,0.076224309
85,CAB_UPS,6,0.076224309
86,CAB_DNS,6,0.076224309
87,PSB_UPS,6,0.070277025
88,PSB_DNS,6,0.070277025
89,GUN_UPS,6,0.073346221
90,GUN_DNS,6,0.073346221
91,KFB_UPS,7,0.072121697
92,KFS_MID,7,0.072121697
93,KFS_DNS,7,0.072121697
94,MIB_UPS,7,0.07067714
95,MIB_MID,7,0.07067714
96,MIB_DNS,7,0.07067714
97,FUB_UPS,7,0.07545725
98,FUB_MID,7,0.07545725
99,FUB_DNS,7,0.07545725
100,CAB_UPS,7,0.07545725
101,CAB_DNS,7,0.07545725
102,PSB_UPS,7,0.07067714
103,PSB_DNS,7,0.07067714
104,GUN_UPS,7,0.072121697
105,GUN_DNS,7,0.072121697
106,KFB_UPS,8,0.07602686
107,KFS_MID,8,0.07602686
108,KFS_DNS,8,0.07602686
109,MIB_UPS,8,0.075789568
110,MIB_MID,8,0.075789568
111,MIB_DNS,8,0.075789568
112,FUB_UPS,8,0.0779689
113,FUB_MID,8,0.0779689
114,FUB_DNS,8,0.0779689
115,CAB_UPS,8,0.0779689
116,CAB_DNS,8,0.0779689
117,PSB_UPS,8,0.075789568
118,PSB_DNS,8,0.075789568
119,GUN_UPS,8,0.07602686
120,GUN_DNS,8,0.07602686
121,KFB_UPS,9,0.072602977
122,KFS_MID,9,0.072602977
123,KFS_DNS,9,0.072602977
124,MIB_UPS,9,0.075571856
125,MIB_MID,9,0.075571856
126,MIB_DNS,9,0.075571856
127,FUB_UPS,9,0.074909657
128,FUB_MID,9,0.074909657
129,FUB_DNS,9,0.074909657
130,CAB_UPS,9,0.074909657
131,CAB_DNS,9,0.074909657
132,PSB_UPS,9,0.075571856
133,PSB_DNS,9,0.075571856
134,GUN_UPS,9,0.072602977
135,GUN_DNS,9,0.072602977
136,KFB_UPS,10,0.084463501
137,KFS_MID,10,0.084463501
138,KFS_DNS,10,0.084463501
139,MIB_UPS,10,0.082793508
140,MIB_MID,10,0.082793508
141,MIB_DNS,10,0.082793508
142,FUB_UPS,10,0.081973623
143,FUB_MID,10,0.081973623
144,FUB_DNS,10,0.081973623
145,CAB_UPS,10,0.081973623
146,CAB_DNS,10,0.081973623
147,PSB_UPS,10,0.082793508
148,PSB_DNS,10,0.082793508
149,GUN_UPS,10,0.084463501
150,GUN_DNS,10,0.084463501
151,KFB_UPS,11,0.101434601
152,KFS_MID,11,0.101434601
153,KFS_DNS,11,0.101434601
154,MIB_UPS,11,0.095852737
155,MIB_MID,11,0.095852737
156,MIB_DNS,11,0.095852737
157,FUB_UPS,11,0.095860207
158,FUB_MID,11,0.095860207
159,FUB_DNS,11,0.095860207
160,CAB_UPS,11,0.095860207
161,CAB_DNS,11,0.095860207
162,PSB_UPS,11,0.095852737
163,PSB_DNS,11,0.095852737
164,GUN_UPS,11,0.101434601
165,GUN_DNS,11,0.101434601
